已知结果来源	样本编号	已知结果	质控结果	原始数据量	质控合格比例	预测性别	检出病原体	read	rpk	过滤标志	已知结果rpk	扩增子覆盖度	扩增子	扩增子read	扩增子rpk	扩增子rate	最佳比对率	anaid	体系	runid
培养物	TR-2-6000-V3-1-test8	停乳链球菌|6000	合格	60014	0.11	未知	三叶草根瘤菌|报	751	1251	内参	6000	'1/1	IC_RL2_2	751	1251	1	0.987;1.00	R230829-S086	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	TR-2-6000-V3-1-test8	停乳链球菌|6000	合格	60014	0.11	未知	停乳链球菌|报	304	506	阳性	6000	'1/1	jTGM157	304	506	1	1.000;1.00	R230829-S086	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-1-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	126796	0.07	未知	三叶草根瘤菌|报	575	453	内参	15000	'1/1	IC_RL2_2	575	453	1	0.987;1.00	R230829-S059	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-1-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	126796	0.07	未知	嗜麦芽窄食单胞菌|报	29	22	滤	15000	'1/2	RTGM164	29	22	2	1.000;1.00	R230829-S059	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-1-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	126796	0.07	未知	嗜麦芽窄食单胞菌|报	29	22	滤	15000	'1/2	RTGM165	0	0	0		R230829-S059	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-1-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	126796	0.07	未知	白念珠菌|报	82	64	弱阳	15000	'1/1	ITGM041	82	64	1	0.974;1.00	R230829-S059	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-2-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	147749	0.08	女性	三叶草根瘤菌|报	1061	718	内参	15000	'1/1	IC_RL2_2	1061	718	1	0.987;1.00	R230829-S060	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	VZV-2-15000-V3-1-test8	水痘-带状疱疹病毒(VZV)|15000	合格	147749	0.08	女性	人内参ZFX|报	17	11	内参	15000	'1/1	gTGM008	17	11	1	1.000;1.00	R230829-S060	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	三叶草根瘤菌|报	1260	1045	内参	2000	'1/1	IC_RL2_2	1260	1045	1	0.987;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	大肠埃希菌|报	98	81	弱阳	2000	'1/2	RTGM016	98	81	2.025	1.000;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	大肠埃希菌|报	98	81	弱阳	2000	'1/2	RTGM017	0	0	0		R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	星形诺卡菌|报	5834	4840	阳性	2000	'2/2	RTGM216	3511	2913	1.204	1.000;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	星形诺卡菌|报	5834	4840	阳性	2000	'2/2	RTGM221	2323	1927	0.796	1.000;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	诺卡菌属|报	5847	4851	阳性	2000	'2/2	RTGM216	3524	2924	1.206	1.000;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-1-2000-V3-1-test8	星形诺卡菌|2000	合格	120515	0.14	未知	诺卡菌属|报	5847	4851	阳性	2000	'2/2	RTGM221	2323	1927	0.795	1.000;1.00	R230829-S079	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-2-2000-V3-1-test8	星形诺卡菌|2000	合格	186019	0.12	未知	三叶草根瘤菌|报	1529	821	内参	2000	'1/1	IC_RL2_2	1529	821	1	0.987;1.00	R230829-S080	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-2-2000-V3-1-test8	星形诺卡菌|2000	合格	186019	0.12	未知	星形诺卡菌|报	4322	2323	阳性	2000	'2/2	RTGM216	2664	1432	1.233	1.000;0.99	R230829-S080	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-2-2000-V3-1-test8	星形诺卡菌|2000	合格	186019	0.12	未知	星形诺卡菌|报	4322	2323	阳性	2000	'2/2	RTGM221	1658	891	0.767	1.000;1.00	R230829-S080	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-2-2000-V3-1-test8	星形诺卡菌|2000	合格	186019	0.12	未知	诺卡菌属|报	4327	2325	阳性	2000	'2/2	RTGM216	2667	1433	1.233	1.000;0.99	R230829-S080	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XXNK-2-2000-V3-1-test8	星形诺卡菌|2000	合格	186019	0.12	未知	诺卡菌属|报	4327	2325	阳性	2000	'2/2	RTGM221	1660	892	0.768	1.000;1.00	R230829-S080	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	90995	0.08	未知	三叶草根瘤菌|报	1177	1293	内参	5300	'1/1	IC_RL2_2	1177	1293	1	0.987;1.00	R230829-S111	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	90995	0.08	未知	新洋葱伯克霍尔德菌|报	56	61	弱阳	5300	'1/2	jTGM037	0	0	0		R230829-S111	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	90995	0.08	未知	新洋葱伯克霍尔德菌|报	56	61	弱阳	5300	'1/2	jTGM038	56	61	2.033	1.000;1.00	R230829-S111	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	90995	0.08	未知	洋葱伯克霍尔德菌复合群|报	56	61	弱阳	5300	'1/2	jTGM037	0	0	0		R230829-S111	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	90995	0.08	未知	洋葱伯克霍尔德菌复合群|报	56	61	弱阳	5300	'1/2	jTGM038	56	61	2.033	1.000;1.00	R230829-S111	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	三叶草根瘤菌|报	1346	1126	内参	5300	'1/1	IC_RL2_2	1346	1126	1	0.987;1.00	R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	新洋葱伯克霍尔德菌|报	138	115	弱阳	5300	'1/2	jTGM037	0	0	0		R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	新洋葱伯克霍尔德菌|报	138	115	弱阳	5300	'1/2	jTGM038	138	115	2.018	1.000;1.00	R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	洋葱伯克霍尔德菌复合群|报	138	115	弱阳	5300	'1/2	jTGM037	0	0	0		R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	洋葱伯克霍尔德菌复合群|报	138	115	弱阳	5300	'1/2	jTGM038	138	115	2.018	1.000;1.00	R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	鲍曼不动杆菌|报	5	4	滤	5300	'1/3	jTGM065	5	4	4	1.000;1.00	R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	鲍曼不动杆菌|报	5	4	滤	5300	'1/3	nTGM001	0	0	0		R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-1-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	119504	0.07	未知	鲍曼不动杆菌|报	5	4	滤	5300	'1/3	pTGM010	0	0	0		R230829-S135	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-2-1-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	162514	0.07	未知	三叶草根瘤菌|报	1449	891	内参	5300	'1/1	IC_RL2_2	1449	891	1	0.987;1.00	R230829-S112	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-2-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	212277	0.06	未知	三叶草根瘤菌|报	1694	798	内参	5300	'1/1	IC_RL2_2	1694	798	1	0.987;1.00	R230829-S136	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-2-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	212277	0.06	未知	铜绿假单胞菌|报	2	1	滤	5300	'1/2	pTGM081	0	0	0		R230829-S136	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	XYC-5300-2-2-V3-1-test8	新洋葱伯克霍尔德菌|5300	合格	212277	0.06	未知	铜绿假单胞菌|报	2	1	滤	5300	'1/2	pTGM082	2	1	1	1.000;1.00	R230829-S136	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YQ-1-500-V3-1-test8	烟曲霉|500	合格	101157	0.1	未知	三叶草根瘤菌|报	783	774	内参	500	'1/1	IC_RL2_2	783	774	1	0.987;1.00	R230829-S077	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YQ-1-500-V3-1-test8	烟曲霉|500	合格	101157	0.1	未知	烟曲霉|报	742	733	阳性	500	'1/1	RTGM168	742	733	1	1.000;1.00	R230829-S077	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YQ-1-500-V3-1-test8	烟曲霉|500	合格	101157	0.1	未知	白念珠菌|报	88	86	弱阳	500	'1/1	ITGM041	88	86	1	0.974;1.00	R230829-S077	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YQ-2-500-V3-1-test8	烟曲霉|500	合格	106601	0.11	未知	三叶草根瘤菌|报	1284	1204	内参	500	'1/1	IC_RL2_2	1284	1204	1	0.987;1.00	R230829-S078	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YQ-2-500-V3-1-test8	烟曲霉|500	合格	106601	0.11	未知	烟曲霉|报	469	439	阳性	500	'1/1	RTGM168	469	439	1	1.000;1.00	R230829-S078	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	170449	0.08	未知	三叶草根瘤菌|报	2437	1429	内参	1200	'1/1	IC_RL2_2	2437	1429	1	0.987;1.00	R230829-S105	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	170449	0.08	未知	屎肠球菌|报	60	35	弱阳	1200	'1/1	xTGM104	60	35	1	1.000;1.00	R230829-S105	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	170449	0.08	未知	牙龈卟啉单胞菌|报	859	503	阳性	1200	'1/3	xTGM138	0	0	0		R230829-S105	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	170449	0.08	未知	牙龈卟啉单胞菌|报	859	503	阳性	1200	'1/3	xTGM193	859	503	3.012	0.987;1.00	R230829-S105	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	170449	0.08	未知	牙龈卟啉单胞菌|报	859	503	阳性	1200	'1/3	xTGM194	0	0	0		R230829-S105	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	133522	0.08	未知	三叶草根瘤菌|报	3078	2305	内参	1200	'1/1	IC_RL2_2	3078	2305	1	0.987;1.00	R230829-S129	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	133522	0.08	未知	烟曲霉|报	41	30	弱阳	1200	'1/1	RTGM168	41	30	1	1.000;1.00	R230829-S129	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	133522	0.08	未知	牙龈卟啉单胞菌|报	429	321	阳性	1200	'1/3	xTGM138	0	0	0		R230829-S129	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	133522	0.08	未知	牙龈卟啉单胞菌|报	429	321	阳性	1200	'1/3	xTGM193	429	321	3	0.987;1.00	R230829-S129	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-1-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	133522	0.08	未知	牙龈卟啉单胞菌|报	429	321	阳性	1200	'1/3	xTGM194	0	0	0		R230829-S129	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	142442	0.1	未知	三叶草根瘤菌|报	3796	2664	内参	1200	'1/1	IC_RL2_2	3796	2664	1	0.987;1.00	R230829-S106	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	142442	0.1	未知	牙龈卟啉单胞菌|报	1210	849	阳性	1200	'1/3	xTGM138	0	0	0		R230829-S106	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	142442	0.1	未知	牙龈卟啉单胞菌|报	1210	849	阳性	1200	'1/3	xTGM193	1210	849	3	1.000;1.00	R230829-S106	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-1-V3-1-test8	牙龈卟啉单胞菌|1200	合格	142442	0.1	未知	牙龈卟啉单胞菌|报	1210	849	阳性	1200	'1/3	xTGM194	0	0	0		R230829-S106	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	89202	0.08	未知	三叶草根瘤菌|报	1938	2172	内参	1200	'1/1	IC_RL2_2	1938	2172	1	0.987;1.00	R230829-S130	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	89202	0.08	未知	牙龈卟啉单胞菌|报	167	187	弱阳	1200	'1/3	xTGM138	0	0	0		R230829-S130	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	89202	0.08	未知	牙龈卟啉单胞菌|报	167	187	弱阳	1200	'1/3	xTGM193	167	187	3.016	1.000;1.00	R230829-S130	test8	T1-230829_TPMN00204_0132_A000H5MMF3
培养物	YYPL-1200-2-2-V3-1-test8	牙龈卟啉单胞菌|1200	合格	89202	0.08	未知	牙龈卟啉单胞菌|报	167	187	弱阳	1200	'1/3	xTGM194	0	0	0		R230829-S130	test8	T1-230829_TPMN00204_0132_A000H5MMF3
NF水-建库	JK-NTC-V3-1-test8	NTC	内参不合格	124363	0.07	未知	无	0	0	na	na	na	na	0	0	0	na	R230829-S155	test8	T1-230829_TPMN00204_0132_A000H5MMF3
NF水-提取	NTC-TQ-V3-1-test8	NTC	合格	128924	0.1	未知	三叶草根瘤菌|报	2288	1774	内参	0	'1/1	IC_RL2_2	2288	1774	1	0.987;1.00	R230829-S087	test8	T1-230829_TPMN00204_0132_A000H5MMF3
NF水-逆转录	NZL-NTC-V3-1-test8	NTC	内参不合格	121648	0.06	未知	人内参ZFY|报	6	4	内参	0	'1/1	gTGM008	6	4	1	1.000;0.86	R230829-S088	test8	T1-230829_TPMN00204_0132_A000H5MMF3
